Transaction_ID,Date,Customer_ID,Product,Amount,Region
7ec0c1a6-af35-4b90-8d73-faa0fc9a45e7,2022-11-06,ca46e73a-bf1d-46e1-b99a-bed656d48cd9,inside,452.93,North
d8e197a9-550a-4cb0-af03-19759e6bbd51,2022-09-27,e3552cd0-9d8f-4c06-a743-7ff27ca7cc1f,lay,457.95,West
3d8615e0-5ecc-4b56-854f-9c23245be87c,2024-02-12,a02c316b-d48a-4699-bb6a-ba93b4d4681d,change,210.33,West
4b6153d8-6861-4336-a162-364b1b17c28e,2024-11-03,1bcf2801-6f9d-48b7-86cc-df51ff41f66e,water,312.98,North
b4bab38e-7c40-4d9b-a700-34e447eaa440,2021-07-25,02d228b6-91ea-49f6-bb29-89263acc547f,method,482.75,North
7215cb61-846d-4dbe-915f-eed083fc2f19,2025-01-02,56d3c3e3-a7cb-4052-9308-e3e2514cfb65,identify,461.91,South
5c284310-bff8-4c71-a1a4-1faede431fcb,2022-06-08,f5ce7895-4c41-425b-9c56-5b3e6932d65d,same,491.93,West
2eca4764-82b2-4f78-8071-48a1a0f06c6c,2020-06-11,959925ac-d2bb-45cd-bd94-9fe1d163aced,yeah,232.77,East
b044b955-d232-4a96-9bb1-ea6e454a899e,2021-11-24,aa6aee04-a977-4baf-862a-fdd337d8bf9f,car,366.7,North
46379236-ab7a-4087-a07c-86649c6e1f7d,2021-06-29,310647d2-f550-454b-8283-8934f9616096,better,322.59,North
29046b28-8b8b-4982-9b07-bc19df330ea8,2024-11-18,48534cb6-3a29-40bd-bc0f-ba8bbd3d758f,standard,403.44,West
7bd234ed-87cb-4b51-bf9e-3055e2d11472,2022-01-21,80257ec3-b617-4bd7-b857-d6e10ee18dee,fast,446.99,East
b97ff05f-037b-4262-b7f9-9e4e1bd1a566,2024-06-25,838784e9-2d92-40d0-81ec-b75f2579bf10,drop,242.14,East
d4daef70-8e81-4400-af03-ac31c4029772,2021-12-31,2959aadc-f694-4855-9b41-f4b512456245,record,384.79,East
156f01bf-81de-4cc4-9f4a-7fad23d853f3,2023-10-05,1deac66c-1062-4710-b72b-a8b5bd2fffd7,performance,41.84,West
e46141ad-d191-47fb-bc21-b249072c8daf,2023-12-06,3651d409-4e72-45d5-beb6-5c69fd592a33,since,94.1,West
ca0c3f80-61e2-413c-b42d-fb8dc4c91370,2022-08-12,613c57d4-2dd6-4cf2-94ae-5eeab7344894,issue,481.07,South
58c93ea3-ecd0-4bab-8910-c410aac200f8,2024-06-07,902ec607-6fca-459a-aa8e-ecd4bfd2f732,guess,412.65,South
b948992b-6b7f-422b-b60e-aec6a5bfd73c,2023-12-04,816a9a6c-35b6-4d30-ab42-26d7458ea298,positive,199.97,West
ca481cae-d79f-46cb-a98d-c9a48c05684b,2021-05-01,109a6915-6c71-4be7-8444-f66611da107a,term,71.3,South
284c53d4-8d20-4cbb-bd3c-57ab5fd9685d,2020-01-04,523d58ec-9650-46f1-be4b-0ed355d31030,so,376.53,South
300a5f14-ef8d-4eee-927e-0f2bf10a7df3,2022-12-27,25c86ce3-52da-433c-afb4-4daea3cfb951,local,123.77,North
0d2d8805-417c-4481-a23e-2d5cae18631e,2025-01-01,54e8cfe2-c4b3-45aa-bc09-d2edabb9f8f5,north,62.03,North
25a7694b-e528-4402-89f0-6297aac98930,2023-08-17,0f7dff75-91c9-40f1-9f83-eb31176a48f8,administration,359.86,West
5a4a8d84-7b50-41f1-91de-66f2f9f55c2f,2020-10-06,f38452bd-63bc-461c-86ea-2e10ca958e34,build,167.17,East
6ce15cc9-e771-4ce4-933a-30e315099803,2023-12-16,108eb47d-55a1-4172-91b1-6910fa832706,building,107.55,North
44888f11-6f50-484f-bf7b-ee316c76241b,2024-04-13,a3781cfb-bf5b-4c88-9d66-cea64a81fdd5,read,374.17,South
8c067e17-79ed-4031-b6e9-9593e0f537dc,2021-01-28,3e04b288-cab0-4e8b-bb69-c067e05221cb,long,357.14,East
e33197cb-c687-4ae6-a1bb-3010a09285cf,2024-10-31,911c606e-24e6-4be6-a333-6538706671ce,six,34.15,North
2cbd63e1-4eb9-46ee-bfcf-cff3fd52b06f,2022-03-15,cf729665-a0f4-4d94-8155-be6e6db0c2bc,adult,25.37,West
bd3a7ddc-e917-41a5-95ed-91447b8dda93,2022-10-07,9b5257aa-ecd2-415c-9353-2d4f8f1b075a,stuff,69.81,East
21d9738a-2e09-4228-b26e-dc78f526265f,2024-11-19,26569a69-fd35-45a7-999f-5f3a0751f551,last,279.52,West
2d7248c8-55b2-41c9-bb8d-05e5858e2a37,2023-08-15,613d8e42-3785-4381-97df-7ce9ac7b0a1c,different,159.71,East
d3f54fab-b579-4a76-a7b2-bb96300c9364,2023-11-29,e2784dcf-931b-4d0a-aaa6-614655a58c1c,agency,146.94,East
90282650-1750-4325-9422-9a6e5246a313,2021-05-04,b5dcb2f3-a539-4a98-804c-d01b0f96e423,bank,388.49,North
6c80655a-c039-49ef-9e43-ad4cecb4dd6e,2024-10-03,e6c94ccb-4e06-4b7a-a0dc-7a730a589c9e,worry,493.96,East
3550711d-a5cd-4c24-a1e2-f2eb97836026,2024-02-07,f54ff1c8-7d59-4ab3-9093-1c53ee7ed472,expect,226.49,West
c5cc13b5-da8c-4f9c-93d6-0f97f9e055f0,2021-10-26,ea482407-0b63-4504-8b06-41a9d988cd55,than,396.25,East
